I_arcSum	I_inj_total	V_InjD12
-7.5926018	92.216644	0
-9.135663	89.772293	0
-8.6895103	90.427361	0
-7.3611302	93.733055	0
-7.3611307	91.737541	0
-7.3594513	93.489929	0
-7.3577724	91.936195	0
-7.3577724	95.028076	0
-7.5808482	97.671104	0
-7.3577724	98.767937	0
-7.8005657	102.75047	0
-5.5849195	99.885658	0
-2.4836864	99.892288	0
-1.3733447	95.467133	0
-1.8144596	94.590271	0
-1.1485902	96.363945	0
-0.039927244	93.499138	0
1.2934899	93.056953	0
2.4055107	87.0998	0
3.7389278	84.676781	0
4.1834002	81.804878	0
4.8526278	79.58139	0
5.300458	80.884926	0
5.9663272	78.668549	0
5.7432513	83.099922	0
5.7432513	80.883553	0
6.410799	79.543602	0
7.2997441	81.53109	0
7.5194616	81.758621	0
7.9622555	83.966957	0
8.6298027	79.776878	0
9.7401447	78.465355	0
10.848806	75.39386	0
12.180546	71.431755	0
13.513964	69.236717	0
15.068777	60.408142	0
17.068064	57.115772	0
18.622879	48.06633	0
19.734898	40.769695	0
20.848598	36.130753	0
21.962299	34.598335	0
22.628166	36.144043	0
23.072639	30.158512	0
23.295715	31.041573	0
23.07432	32.608597	0
22.629847	27.699055	0
22.851244	24.549446	0
22.183697	25.425407	0
21.962299	34.288605	0
22.185375	33.632603	0
22.406771	32.741516	0
21.960619	28.971901	0
22.182014	26.541752	0
22.849564	28.764305	0
23.517113	22.123222	0
23.515434	18.346493	0
23.515434	18.160664	0
23.743546	22.185783	0
25.080322	19.085899	0
25.744511	11.540001	0
25.964231	11.532433	0
26.410381	7.7841072	0
27.299326	5.7886238	0
27.522402	2.6887512	0
27.522402	0.46528244	0
27.522402	2.6736374	0
28.189949	-0.87511063	0
29.078896	1.9958916	0
29.296934	-0.66224289	0
29.295254	-0.44891739	0
29.298615	-2.4586067	0
29.078897	-2.0244026	0
28.409668	1.5021362	0
28.186594	0.17639923	0
28.186594	-0.50800705	0
28.186592	-2.0617371	0
27.963516	-2.5181541	0
27.963516	-0.31690979	0
27.519043	-2.7683525	0
27.519043	-0.79508209	0
26.6301	-4.3438225	0
26.407024	-1.907486	0
26.183949	-3.0194473	0
26.407024	-3.6967506	0
26.185627	-1.2817192	0
25.962551	-1.723938	0
25.518078	0.69818497	0
25.29668	-1.7461548	0
24.853888	-1.760807	0
24.409416	-1.7754631	0
23.072639	-4.0131378	0
23.070961	0.17603683	0
23.072639	-1.3705902	0
23.074318	0.16802216	0
22.629847	-2.504303	0
22.629847	-2.7398453	0
22.408451	-0.76657486	0
22.408451	-2.5482788	0
22.408451	0.094745636	0
22.183695	-2.3425064	0
22.40509	-0.79681015	0
23.074318	0.75601196	0
23.075998	-0.14217377	0
22.406773	1.6031151	0
21.958941	0.4982605	0
22.180336	4.2598839	0
21.735863	1.3737717	0
21.293072	0.69646835	0
20.850277	1.3444557	0
20.850277	1.3368912	0
21.29475	5.312294	0
21.073353	2.4332962	0
20.851957	3.0883789	0
20.407486	2.1973038	0
20.186089	2.4106216	0
20.187767	3.2723808	0
19.966372	0.38627625	0
19.743296	3.0292892	0
19.741615	1.4826775	0
19.739937	2.5866241	0
19.295464	2.5790634	0
18.629595	1.2320099	0
18.629595	4.9794273	0
18.406517	2.9839554	0
18.185122	4.3016815	0
17.962048	2.7479591	0
17.73897	3.1821671	0
17.294497	4.9345551	0
17.517574	5.5967445	0
17.517574	8.2326508	0
17.517574	4.9047699	0
17.073101	5.1110077	0
16.850025	5.3314362	0
16.626949	4.8750153	0
16.626949	7.7388992	0
16.403873	4.8527985	0
16.626949	6.1634216	0
16.626949	3.2773209	0
16.848345	3.0488739	0
17.512537	2.58535	0
16.846666	3.9030838	0
13.077885	7.8642731	0
11.303352	6.7523117	0
12.410336	7.3931961	0
13.076206	6.9438782	0
11.967544	6.7012329	0
11.081957	9.7789001	0
10.416087	10.213112	0
10.637484	14.851151	0
10.637484	13.518311	0
9.3057451	13.731644	0
9.5271416	11.287292	0
12.851452	11.286842	0
15.070456	13.267204	0
13.742075	10.616188	0
12.854811	10.380646	0
13.963472	6.8389816	0
15.293533	9.0686493	0
15.293531	10.17971	0
14.629341	7.5073776	0
13.963472	9.2526703	0
14.631021	7.9198303	0
15.075495	9.9001923	0
15.075493	8.7882309	0
13.742077	9.2224426	0
13.742075	11.858345	0
13.742075	11.629921	0
13.520678	15.156448	0
13.076206	9.598465	0
13.076206	7.8025436	0
12.85481	8.0229874	0
12.85313	8.692276	0
12.406979	10.679741	0
11.962507	8.2567062	0
11.964186	7.8002853	0
12.85313	4.4795151	0
12.85313	4.0372925	0
12.85313	4.6994934	0
12.85313	4.0363922	0
12.85313	6.9073944	0
13.074526	4.2563629	0
13.517321	4.0279312	0
13.963472	1.590683	0
13.965151	1.1413727	0
13.522358	2.0031357	0
13.297604	2.6724243	0
13.961793	5.0945511	0
14.849058	2.8781891	0
14.406265	2.863533	0
13.074528	1.9653473	0
12.85313	0.39743805	0
13.519001	4.8145905	0
13.519	4.6003494	0
13.074528	6.3598328	0
12.85313	2.583107	0
13.295925	2.3546753	0
13.519	2.3400192	0
12.85481	1.6698303	0
11.967543	2.7595673	0
12.853128	0.32942963	0
14.627661	2.0889206	0
12.856489	3.6346207	0
9.7552547	2.7222366	0
9.3107824	4.4604187	0
10.417766	4.0111008	0
10.639162	9.0980072	0
10.196369	7.7651596	0
9.9766521	8.1922684	0
9.7552557	8.1776047	0
9.089386	10.16507	0
8.6465931	13.470734	0
7.9807234	10.377953	0
9.9732943	9.4868698	0
12.187262	7.2847061	0
12.631735	6.4007339	0
11.747826	6.6140594	0
11.747826	3.7279434	0
11.969223	5.9363022	0
12.18894	2.6226501	0
12.18894	2.835968	0
12.187262	0.82628632	0
11.519712	0.58364105	0
11.742788	4.7728043	0
11.967543	5.6629791	0
11.744468	8.3059998	0
10.853844	4.5292587	0
10.630769	4.0657425	0
10.409371	6.2740936	0
10.409372	8.0406952	0
10.407693	12.008987	0
10.627411	8.9091034	0
10.850487	9.5712891	0
11.296638	7.5900116	0
11.296638	5.145668	0
10.848807	5.1310043	0
11.071882	2.9075394	0
11.74111	5.7785187	0
12.185582	2.6857529	0
11.962507	1.7946777	0
11.960829	-1.0914383	0
11.294958	-2.8731461	0
10.852165	-0.45101166	0
11.075241	-2.2185135	0
10.853844	-2.4611511	0
9.745182	-7.5702744	0
11.073563	-2.6829453	0
12.843056	5.7668915	0
12.398585	5.310463	0
11.068526	5.4953842	0
11.512999	2.6092834	0
11.957469	5.708252	0
12.180546	5.0451584	0
11.95915	5.2584839	0
11.736074	6.5691071	0
12.178867	7.9010391	0
13.064455	13.215935	0
11.737753	4.3305359	0
10.630768	-5.4738998	0
10.632447	-4.576622	0
10.193012	4.7780228	0
9.3074245	9.430275	0
9.7485399	2.0910416	0
10.635805	1.8484039	0
10.635805	-0.1399765	0
10.637484	0.5222168	0
10.414409	-0.59685516	0
10.193012	-0.60440826	0
9.9716148	3.5918808	0
8.6432352	2.715004	0
9.0843496	2.0306015	0
10.852165	-6.2063675	0
11.514677	-7.3325195	0
10.630768	-2.0105438	0
9.9665775	-1.5692368	0
10.632448	-0.26570892	0
11.07692	-4.4842072	0
11.299995	-2.9384918	0
11.299995	-3.8224792	0
11.298317	-4.9415359	0
11.74111	-1.6358719	0
11.298317	-2.5340576	0
10.855524	1.4342499	0
10.411051	-0.12658691	0
9.745182	0.96316528	0
9.3023882	3.6132812	0
8.8579159	6.4913712	0
8.1886892	11.792061	0
7.52282	9.5685883	0
7.7458954	11.100105	0
7.7458954	10.209007	0
7.5228195	10.643227	0
7.7458954	12.409805	0
7.7492533	9.9725647	0
7.7509322	10.627655	0
7.9706497	6.2024765	0
8.1903677	5.3114014	0
8.4134426	1.9835358	0
8.6365185	0.65068817	0
8.8579159	2.4101715	0
8.4134436	0.63558197	0
7.9689713	2.8297348	0
8.1920471	-0.50524139	0
8.1886892	-1.1896286	0
7.2963862	0.12809753	0
7.0749893	1.6666946	0
7.2980652	7.1882629	0
7.5177827	5.855423	0
7.2930284	7.3869247	0
6.6271591	3.6030884	0
6.6288376	3.3675461	0
7.0733099	6.4665375	0
7.5177822	7.3638	0
7.5177822	10.462776	0
7.5194616	7.5979767	0
8.4084063	6.4860229	0
8.8512001	4.4976425	0
8.8512001	1.8324203	0
8.6314831	2.9292603	0
8.6331615	0.72000885	0
9.2990303	4.9375839	0
9.2973518	2.0656891	0
9.074276	0.50485992	0
9.074276	-2.1674652	0
9.074276	-1.9470444	0
9.074276	0.69596863	0
9.5170698	-2.6248093	0
10.18294	-2.1977005	0
10.406014	-2.1910477	0
9.9632206	-1.9777222	0
9.5187492	-2.2203674	0
9.7401447	-4.0091705	0
10.184617	-0.25465393	0
10.407692	-3.1336517	0
10.407692	-2.6994476	0
10.407692	-4.9229126	0
10.407692	-4.7095795	0
9.9648991	-1.4039307	0
9.2990303	-3.6203003	0
9.0759544	-3.8629532	0
9.5187492	-7.853447	0
10.186296	-6.0797653	0
10.409372	-5.4175644	0
10.409372	-5.2042389	0
10.186296	-2.3403473	0
9.9649	-5.2193604	0
9.9649	-4.1225128	0
9.9649	-6.1179962	0
10.186296	-6.1255493	0
10.409372	-4.5869446	0
10.409372	-4.3665314	0
10.409372	-0.61200714	0
10.186296	-4.1607513	0
9.7418251	-3.9474258	0
9.2973518	-6.3917694	0
9.2973518	-7.0690765	0
9.5187492	-3.7634201	0
9.5187492	-5.3171387	0
9.7384663	-3.3367691	0
8.8478422	-6.4366608	0
7.2980652	-6.8930817	0
6.6389122	-6.0242081	0
7.0833845	-4.0438385	0
7.3031015	2.3683548	0
7.7458949	1.0284119	0
7.7458954	3.4434433	0
7.303102	2.3243713	0
6.6372328	4.0838699	0
5.7482877	5.3873901	0
5.7482882	5.5936127	0
7.0833836	9.7827835	0
8.1886883	9.3476791	0
8.4050484	8.8983612	0
7.7375002	5.1287231	0
7.7391796	3.1261444	0
7.5177827	5.1136093	0
7.5177827	3.1252289	0
7.9605761	4.6709442	0
8.4050484	0.024902344	0
9.2939939	0.69418335	0
9.074276	-0.18980408	0
8.4084072	-1.0808792	0
8.6298037	0.45062256	0
9.0725975	-2.8701401	0
9.2956734	-2.2150421	0
9.074276	-5.3149261	0
8.8528795	-5.9851379	0
8.8528795	-5.109169	0
8.8528795	-5.3376083	0
8.8528795	-2.4737167	0
8.4084072	-6.2433395	0
8.4084072	-5.3673706	0
8.4084072	-7.1419754	0
8.4084072	-7.3704147	0
8.1870098	-4.7274017	0
7.9656138	-6.067337	0
7.5228205	-3.424324	0
7.3031025	-4.7429657	0
7.3031025	-2.9692688	0
7.0800266	-4.7509766	0
7.0783472	-5.6491547	0
7.52282	-1.8946381	0
7.52282	-4.3318787	0
7.52282	-2.572403	0
7.3014231	-5.9002533	0
7.52282	-5.9078217	0
7.7442169	-4.5829849	0
8.1870098	-5.2602997	0
7.7408586	-2.6243744	0
7.5177827	-5.5033798	0
7.9622555	-3.2879257	0
8.1853313	-5.2834091	0
7.9639344	-6.1815948	0
7.742538	-3.9803467	0
7.742538	-4.6505432	0
7.9639344	-1.1169128	0
7.742538	-3.9959183	0
7.742538	-3.7825775	0
7.742538	-4.6665497	0
8.1870098	-5.5647354	0
7.7425385	-4.0474319	0
6.6321964	-5.8433456	0
6.4108	-1.4332962	0
6.6338758	-1.2128601	0
6.4108	0.76750946	0
5.7432518	1.6363754	0
5.5218544	3.3958588	0
5.5218544	7.1361694	0
5.300458	4.9126968	0
4.8559856	6.4442062	0
4.6312308	4.89048	0
4.6312308	3.3296738	0
5.7466087	5.9939804	0
5.7482882	7.5610046	0
5.0790615	8.6578522	0
5.298779	2.230545	0
6.1894026	1.3394623	0
6.4124784	-1.5395355	0
6.1877241	-2.8723755	0
5.0740237	-1.1128845	0
5.0740237	-2.4386292	0
