I_arcSum,I_inj_total,OTor3,PlasmaRogA,V_InjD12
3.2994916,-4.0706863,-0.050233722,1525.131,0
3.5208881,-2.090332,-0.050233722,1526.516,0
3.5208881,-4.9693146,0.29707184,1526.0658,0
3.7422848,-4.7559967,0.29707184,1525.6156,0
3.5208881,-4.7635345,-0.050233722,1526.3888,0
3.5208881,-4.7711029,-0.050233722,1526.5503,0
3.2994916,-1.686348,-0.39753917,1526.1001,0
3.0764158,-4.5653458,-0.050233722,1526.2617,0
2.8550191,-3.468483,-0.050233722,1525.8115,0
3.2994909,-6.3546143,0.29707184,1525.3613,0
3.0780945,-6.3621674,0.29707184,1526.1345,0
3.2994909,-4.3817673,0.29707184,1526.9078,0
3.2994914,-5.0519791,0.29707184,1526.4576,0
3.2994914,-2.1880875,-0.050233722,1526.0074,0
3.0780945,-5.0670929,-0.39753917,1526.7806,0
3.0764158,-4.8537598,-0.39753917,1526.9421,0
3.0764158,-5.9657288,-0.050233722,1526.4919,0
3.7439637,-5.7524261,0.29707184,1526.0417,0
3.9670396,-2.4467545,0.29707184,1526.8151,0
3.9653606,-4.8839951,0.29707184,1526.9766,0
3.5208888,-3.1245117,-0.050233722,1526.5264,0
3.7422853,-5.5617599,-0.050233722,1526.6879,0
3.9653611,-5.569313,-0.050233722,1526.8495,0
3.9653611,-5.1351013,-0.39753917,1527.011,0
3.9653611,-5.363533,0.29707184,1527.1725,0
4.188437,-1.3881378,-0.050233722,1526.7223,0
4.8559852,-4.2671509,0.29707184,1526.8838,0
4.8559852,-3.6120605,0.29707184,1527.0454,0
4.4098339,-5.6075516,0.29707184,1527.2069,0
3.9653611,-5.8359756,-0.050233722,1526.7567,0
4.1884365,-3.4138565,-0.39753917,1526.9182,0
4.6329088,-4.9675751,-0.050233722,1527.0798,0
4.6329088,-2.7663116,-0.39753917,1527.2413,0
4.409833,-5.4244461,-0.050233722,1527.4028,0
4.409833,-5.2111282,0.29707184,1527.5643,0
4.6329088,-5.8813248,0.29707184,1527.726,0
4.8543053,-6.7795029,0.29707184,1527.8875,0
4.1884365,-3.2529678,-0.050233722,1528.049,0
3.7422848,-5.6902084,-0.050233722,1528.2104,0
3.7422848,-3.4818497,-0.050233722,1528.3721,0
4.1867576,-5.6982193,-0.050233722,1528.5336,0
4.1867576,-5.4848938,0.29707184,1528.6951,0
4.1867576,-3.9462891,0.29707184,1528.8566,0
4.1867576,-4.3956146,0.29707184,1529.0182,0
4.1867576,-1.5317307,-0.050233722,1529.1797,0
4.1867576,-4.4107208,-0.050233722,1529.3412,0
3.9636817,-3.7556305,-0.39753917,1528.891,0
3.7406058,-4.8676071,-0.39753917,1528.4408,0
3.9620023,-5.3169174,-0.050233722,1528.6024,0
4.1867571,-2.4530258,-0.050233722,1528.7639,0
4.1867571,-5.5671005,-0.050233722,1528.9254,0
3.7422845,-2.2614517,0.29707184,1529.0869,0
3.2994909,-2.9316483,0.29707184,1529.2485,0
3.0780945,-0.95127869,0.29707184,1529.41,0
2.6336222,0.58022308,-0.050233722,1529.5715,0
2.1891499,2.3397141,-0.050233722,1529.733,0
1.7446778,7.1915283,-0.050233722,1529.8947,0
1.744678,4.7471848,-0.050233722,1529.4445,0
